Publication,Year,Month,Last_Name,Paper_Title,Process,Node,f@NFmin,NFmin,fc,NF,Gain,P1dB,I/O_P1dB,IIP3,3dB_BW,Power,Comment
TCAS,2025,1,Wang,A 26.5–29.5 GHz Doherty PA-LNA Implementation With Synthesized Transformer-Based Matching Network,CMOS,65,28.6,4.8,28.6,4.8,17,-18,I,,6,33,Receiver Frontend
TCAS II,2025,1,Yan,A 0.2-3 GHz Inductor-Less LNA Using Noise-Canceling and Dual-Resistor Feedback Technique,CMOS,65,0.9,2.08,1.5,2.2,16.5,-19,I,-8.22,2.58,10.6,
JSSC,2025,1,Chen,An E-Band FMCW Radar Receiver With Arbitrary-Path Spillover Cancellation,CMOS,65,72,5.7,72,5.7,18.9,-11.4,I,,,67.3,Receiver Frontend
MWTL,2025,1,Zhang,A 78–106-GHz Current-Reuse LNA With 4-dB Minimum NF and 12.5-mW Power Consumption Based on 130-nm SiGe Technology,SiGe,130,92,4,92,4,20,-19,I,,28,12.5,
MWTL,2025,1,Pu,A 0.2–3.2-GHz Active Balun-LNA With 1.4–2.18-dB NF Utilizing Asymmetric Current Distribution in 28-nm CMOS,CMOS,28,2.2,1.4,2.2,1.4,24.4,-15.8,I,-3.6,,17.4,Receiver Frontend
MWTL,2025,1,Kim,A CMOS Linear Low-Noise Amplifier Using Transformer-Based Second-Harmonic Trap,CMOS,90,2.62,1.1,2.62,1.1,18.33,,,-5.9,1.38,11.76,
TMTT,2025,1,Hwang,Compact Bi-Directional PA-LNA Using Stacked Power Amplifier Enhancing Linearity and Stability,CMOS,28,31,5.3,31,5.3,17.3,-10.3,I,0,8,63,
MWTL,2024,12,Yang,A 6.5-GHz Power-Efficient Two-Stage Feedforward Self-Interference Cancellation Receiver,CMOS,180,6.7,4.8,6.7,4.8,45,,,-20,,23.8,Receiver Frontend
JSSC,2024,12,Liu,A 640-Gb/s 4 × 4-MIMO D-Band CMOS Transceiver Chipset,CMOS,65,140,,,12,25/43,,,,,550/700,Receiver Frontend
TMTT,2024,12,Zhang,Design of Compact Bidirectional Amplifier Utilizing Transformers-Stacking Technique,CMOS SOI,45,18.5,2.46,18.5,2.46,16.2,-21,I,,,36,
TMTT,2024,12,Qian,A Compact High-Gain D-Band LNA With Lossy Gain-Boosting Core Based on Slow-Wave Feedback,CMOS,40,146,6.1,140,6.62,18.4,-17,I,-8,16.5,17.1,
TCAS II,2024,11,Park,A Broadband Gm-Boosted Active Feedback CMOS Low-Noise Amplifier for Low- and Mid-Band 5G Applications,CMOS,130,0.9,1.1,0.9,1.1,21,,,-6,1.7,9.1,
MWTL,2024,11,Song,W-Band Broadband CMOS LNA Using Partially Coupled Transformer and Large Transistor,CMOS,65,82.2,3.77,77,5,15,-14,I,,19.4,44.5,
TCAS II,2024,11,Wang,A 220-GHz LNA With 9.7-dB Noise Figure and 24.6-dB Gain in 40-nm Bulk CMOS,CMOS,40,216,9.68,220,9.83,24.6,-3.6,O,,11,36.9,
TMTT,2024,11,Lee,A 28/37-GHz Frequency-Reconfigurable Dual-Band 1-Channel Front-End IC for 5G Communication Radios,CMOS SOI,28,28/37,"4,4/4,9",28/37,"4,4/4,9","16,4/19,1","-23,8/-29,1",I,,,"62,7/53,9",Receiver Frontend
TCAS II,2024,11,Yoo,A 120 GHz gm-boosting Low-Noise Amplifier in 40-nm CMOS,CMOS,40,123,5,123,5,23.8,-24.8,I,-17,10,26,IIP3 simulated
MWTL,2024,10,Feng,A Compact Low-Loss High-Reliability Antenna T/R Switch Embedded in Power Combiner for 60-GHz Fully Differential PA and LNA,CMOS,65,61,6.4,61,6.4,25,,,,11,48,
TCAS,2024,10,Urain,Area-Efficient SiGe BiCMOS LNA With Wideband Frequency Tuning Capability Across D and G Bands,SiGe,130,150/155/165/175/190,"9,9*/9,8*/9,5/9,4*/13,6",150/155/165/175/190,"9,9*/9,8*/9,5/9,4*/13,6","14,5/15/16,5/16,5/17","-17,89/-/-21,61/-/-24,12",I,,"7,5/18,5/30/16/16","97,5/97,5/87,9/69/59,8","IP1dB simulated, NF* simulated"
TCAS II,2024,10,Zeng,Parasitic-Aware Analysis and Design of a Wideband gm-Boost Low Noise Amplifier at K-Band,CMOS,110,21,2.3,21,2.3,14,-10,I,,9.5,25.6,
TCAS,2024,9,Wang,A 2–6 GHz Reconfigurable High Dynamic Range Receiver With Wideband Variable Gain LNA,CMOS,22,3,2.4,3,2.4,91.9,-17.2,I,-9.1,,51,Receiver Frontend
TCAS,2024,9,Jo,IIP2-Calibration-Free 5G NR Cellular Receiver Front-End With Mixer-Sharing Global N-Path Notch Filter Feedback Achieving +72 dBm IIP2,CMOS,65,"1,805/1,93/2,11/2,62","3,67/3,72/3,75/3,77","1,805/1,93/2,11/2,62","3,67/3,72/3,75/3,77","44,4/44,5/44,7/44,3",-11/-10/-13/-12,I,"-2,3/-2,75/-3,15/-3,85",,13.83,Receiver Frontend
TMTT,2024,9,Yun,A 2.7-dB NF 55-dBm IIP2 Blocker-Tolerant Receiver Front End Employing Dual RF and BB N-Path Filters for 5G New Radio Cellular Applications,CMOS,65,"1,805/1,93/2,11/2,62","3,36/3,2/2,95/2,7","1,805/1,93/2,11/2,62","3,36/3,2/2,95/2,7","42/42,7/42,8/43",,,"-7,75/-8,25/-9,6/-9,9",,14.41,Receiver Frontend
TMTT,2024,9,Oh,A 54–64-GHz 4TXs-4RXs CMOS Transceiver With 10-GHz Bandwidth Single Chirp for FMCW Radar Applications,CMOS,65,60,11.6,60,11.6,80,,,,,731.3,Receiver Frontend
TMTT,2024,9,Liu,A 2–18-GHz Reconfigurable Low-Noise Amplifier With 2.45–3.4-dB NF in 65-nm CMOS,CMOS,65,3/12,"2,8/2,45",3/12,"2,8/2,45","16,6/16","-16/-14,5",I,"-6/-5,5","8,1/13,5",11.9,
JSSC,2024,8,Han,A 70–86-GHz Deep-Noise-Canceling LNA With Dual-Stage Noise Cancellation Using Asymmetric Compensation Transformer and 4-to-1 Hybrid-Phase Combiner,CMOS,40,73,4.8,73,4.8,16,-8.5,I,-0.7,16,25,IIP3 simulated
TMTT,2024,8,Zhou,A 0.1-to-4.3-GHz Variable-Gain Balun LNA With Dual-Path Noise-Canceling Technique,CMOS,65,1.5,1.8,2.2,1.9,19,-13.5,I,-2.5,4.2,7.6,
TMTT,2024,7,Hassan,An Eight-Channel 15–55 GHz Dual-Beam Receive Phased-Array Beamformer IC With 2.9–4.2 dB NF for Multiband 5G Operation,SiGe BiCMOS,90,17,"2,9/4",35,3.5,25/20,-31/-28,I,,,185/132,"System, Power per channel"
APMC,2024,11,Das,A 18.4 dB Gain 0.95 dB NF Ku-Band LNA Design using 130 nm Bulk CMOS Technology,CMOS,130,13,0.95,11.8,1.1,18.4,-14.5,I ,-3,4,10.67,
APMC,2024,11,Tian,Design of a W-Band Low-Noise Amplifier with High Gain and Large Bandwidth in 130 nm SiGe BiCMOS Technology,SiGe BiCMOS,130,80,3.9,94,4.6,23,,,,40,12.4,Simulated
APMC,2024,11,Lu,A 140 GHz Low-Noise Amplifier with 22-dB Gain and 8.2-dB Noise Figure in 65-nm CMOS,CMOS,65,132,8.2,140,10,22,-27,I,,,17.3,
APMC,2024,11,Wu,A 260–316 GHz Gain-Boosted Low Noise Amplifier Achieving 17-dB Gain and 10.5-dB Noise Figure in 130nm SiGe Process,SiGe,130,285,10.5,285,10.5,17.1,-0.5,O,,56,119.04,Simulated NF
APMC,2024,11,Qian,A Compact D-Band Receiver with Low Power for Wireless Communication in 40 nm CMOS,CMOS,40,146,13.3,140,13.4,19.1,-23,I,,15,75.1,"Receiver, P1dB @ 141GHz"
APMC,2024,11,Kumar,Innovative Approach: A 6-12 dB Noise Figure NB-IOT Based RF Receiver Front-end for Wideband Applications,CMOS,65,2.5,5.2,2.5,5.2,7,,,,,15.72,"Simulated, Receiver frontend"
APMC,2024,11,Zeng,Design of V-Band Transmit-Receive Front-End in 28-nm Bulk CMOS,CMOS,28,50,4.8,50,4.8,17,-18,I,,17,23,"Receiver Frontend, NF measured up to 50GHz"
APMC,2024,11,George,Analytical Synthesis of Absorptive Matching Network Applied to a Reflectionless LNA RFIC for Ku-Band AESA Receiver Using ST BiCMOS55X Technology,BiCMOS,55,11.2,1.7,11.2,1.7,25,-29,I,,2,24,Simulated
APMC,2024,11,Liu,A 1-8-GHz Direct-Conversion Receiver Front End in 45-nm CMOS SOI for 5G Wireless Applications,CMOS,45,2.5,3.3,4.5,5,45,,,"-34,3/-14,5/-2,4",0.44,90,"Receiver Frontend, IIP3 @ 8GHz for gain=40/20/5 dB"
APMC,2024,11,Chaubey,A 0.06-1.62 GHz 37.6-dB Gain Cryogenic LNA With Gm-Boosting and Noise Reduction for Large-Scale Quantum Computing Applications,CMOS,40,"0,8/0,9","3,6/1,38","0,8/0,9","3,6/1,38","35,5/36,5","-39,2/-",I,"-17,4/-","1,36/1,56",8.2,"T:300K/12K, Linearity @ 0,3GHz"
TMTT,2024,12,Zhang,A 3-to-78-GHz Distributed Low-Noise Amplifier Incorporating High-Gain Differential gm Cells and Balanced Active Balun in a 65-nm CMOS,CMOS,65,20,5.9,40,7,13.9,5,O,,75,86.4,
TMTT,2024,12,Bardeh,A Wideband Millimeter-Wave CMOS Receiver Using a Reconfigurable Low-Noise Amplifier With a 3-Winding Transformer Load,CMOS SOI,22,"31/26,5/29","2,9/3,1/2,9",27/24/29,"2,9/3,4/2,9","42/45,45/46,58","1,5/1,8/0,8",O,,11/5/5,35,
JSSC,2024,12,Huynh,An Inductive Loading Simultaneous Noise and Input Matching Technique With Current Reuse for Low-Power LNA,CMOS,110,6.8,2.8,6.8,2.8,13.6,-18,I,-5.2,1.4,1.2,
TCAS,2024,11,Lee,A 1.5–2.7 GHz 3-dB NF 32-dB Notch-Depth Channel-Selection Balun-LNA Employing Dual Feedback and Feedforward N -Path Filter Loops for Advanced Cellular Application,CMOS,65,"1,805/1,93/2,62","3,2/3/3,4","1,805/1,93/2,62","3,2/3/3,4","23,2/25,3/26,6",,,"-3,6/-5,7/-4,2","0,03/0,03/0,03",23.1,
IEEE ACCESS,2024,11,Cho,A 120 GHz Hybrid Low Noise Amplifier in 40 nm CMOS,CMOS,40,129,4.7,120,5.5,27.5,-29.5,I,-22,11,27.4,IIP3 simulated
BCICTS,2024,10,Vardarli,A 7.7-mW DC-to-62 GHz Ultra-Wideband Low-Noise Amplifier with ±2.1 ps Group Delay Variation and 3.3 dB NF in 0.13-μm SiGe:C BiCMOS,SiGe BiCMOS,130,25,3.1,30,3.3,11.2,-1.8,O,,62,7.7,
BCICTS,2024,10,Serra,A Biasing Scheme for the Gain Compression Point Optimization of HBT Cascode D-Band LNAs,SiGe BiCMOS,55,150,5.2,170,5.5,17.5,4.2,O ,,>25,20,
BCICTS,2024,10,Lee,140-GHz Transmit and Receive Front-end Circuits with 10.8-dBm Psat and 5.9-dB NF in a 45-nm BiCMOS SOI Process,BiCMOS SOI,45,144,4.5,140,5.8,10,,,,29,12,
BCICTS,2024,10,Dolt,The Design of Wideband LNAs in 45nm SiGe BiCMOS,SiGe BiCMOS,45,27/20,"3,4/2,3",27/20,"3,4/2,3","13,1/19,9",,,-1/-6,"38,8/21","18/14,4",
BCICTS,2024,10,Lasserre,A 5.6 dB NF Two-Stage 110 - 125 GHz LNA Gain-Boosted by RC-over-Neutralization for Radar Applications in 28 nm CMOS,CMOS,28,118,5.6,120,6,12,-17.3,I,,15,25.2,IP1dB @ 115GHz
EuMIC,2024,9,Lee,An Over 100% Fractional Bandwidth Low Noise Amplifier with Gate-Drain Transformer-Feedback in 90-nm CMOS Process,CMOS,90,24,2.3,28,2.4,12,-12,I,-1.6,,11.7,
EuMIC,2024,9,Snyder,A 225 GHz 90-nm SiGe Coupled-Line Coupler Gain-Boosted Low Noise Amplifier Operating Above fmax/2,SiGe BiCMOS,90,217/213,"14,8/13,3",225/220,"15,2/13,8","11,7/5",-16/-6,I,,14/24,"90,3/42,1",NF and IP1dB simulated
EuMIC,2024,9,Yang,A Low Power Cascaded Eight-Channel D-Band Receiver using Single LO Mixer and On-Chip Feeder in 40-nm CMOS for Massive Array FMCW Radar,CMOS,40,123,9.5,120,10,48,,,,7,46.3,"Receiver frontend, NF simulated, Consumption per channel"
EuMIC,2024,9,Jain,"A new 45nm RFSOI Technology Optimized for Low Power, High Performance mmWave Applications",RFSOI,45,20,"1,36/1,26",20,"1,36/1,26","11,93/12,81",-12/-15,I,"0,55/-5,8","6,1/5,5",12.6,
EuMIC,2024,9,Guo,A mm-Wave Two-Stage CMOS LNA Using Noise Cancelling and Post-Distortion Techniques,CMOS,65,30,3.1,30,3.1,19,-18.2,I,-2,9,17.8,
EuMIC,2024,9,Rack,A Low-Power 42 to 67 GHz Variable-Gain LNA in 22FDX® on Standard- and High-Resistivity Substrates with 3.4 dB Noise Figure,CMOS SOI,22,55,"3,8/3,4",55,"3,8/3,4",19/20,,,,25,13.7,
EuMIC,2024,9,Fumagalli,SiGe Transmitter and Receiver with Integrated Mixers and LO Chains for K/Ka Band Phased Array Systems,SiGe BiCMOS,130,20,2.7,20,2.7,40,,,,,36,"Receiver Frontend, Power per channel"
IEEE ACCESS,2024,9,Morath,Designing a Power and Speed Adaptive 60 GHz Receiver in 22 nm FD-SOI CMOS for Tactile Internet Applications,CMOS SOI,22,60,5,60,5,24,,,,7,15.3,"Simulated, Consumption at max data rate"
MWTL,2024,9,Yang,A Cryogenic 2.9–8.6-GHz LNA With Bandwidth Extension Technique for Quantum Applications,CMOS,180,4/4,"2,24/0,6",4/4,"2,24/0,6","9,24/14,23",-9/-,I,-4/-,"4,9/5,7","10,4/10,3",T:300K/4K
IEEE ACCESS,2024,9,Urain,A G-Band SiGe BiCMOS LNA With an Area Efficient Built-In Temperature Compensation Circuit and Robust to TID Radiation,SiGe BiCMOS,130,195,9,195,9,18.1,-19.5,I,,25,35,IP1dB simulated
JSSC,2024,9,Bhat,A 7.6-mW IR-UWB Receiver Achieving −17-dBm Blocker Resilience With a Linear RF Front-End,CMOS SOI,22,6,6,8,6.6,51,,,10.25,0.25,7.6,"Receiver Frontend, IIP3 @ 10GHz"
JSSC,2024,8,Lee,A Tri-Band Dual-Concurrent Wi-Fi 802.11be Transceiver Achieving −46 dB TX/RX EVM Floor at 7.1 GHz for a 4 K-QAM 320 MHz Signal,CMOS FinFet,14,"2,4/5/6","5/4,3/4,5",,,,*,,,,24/90/112,"Receiver Frontend, OIP3 > 31"
IEEE ACCESS,2024,8,Xu,A 60 GHz Broadband LNA With Joined Variable Gain Control and Switching in 22 nm FD-SOI,CMOS SOI,22,55/55,"3,3/3,5",60/60,"3,6/4","20,2/13,1","-23,9/-14,3",I,,"18,5/19,2","8,1/5,5",
JSSC,2024,8,Guan,A Fully Integrated QPSK/16-QAM D-Band CMOS Transceiver With Mixed-Signal Baseband Circuitry Realizing Digital Interfaces,CMOS,28,136.2,9.3,141,9.3,25.5,-37,I,,18,188,"Receiver Frontend, IP1dB @ 141,9GHz"
IMS,2024,6,Puyal,Sub-10-GHz Cryo-CMOS LNAs Achieving Up to 0.07-dB Average NF Thanks to Back Biasing for Qubit Readout in 28-nm FD-SOI,CMOS SOI,28,"3,8/6/3/6,2/3/6/3/6","2,2/0,41(0,38)/1,6/0,19(0,17)/1,2/0,13(0,07)/2,6/0,54(0,53)","3,8/5/2,6/3,6/1,6/1,8/2,6/6,5","2,2/0,41(0,38)/1,6/0,19(0,17)/1,2/0,13(0,07)/2,6/0,54(0,53)",30/29/33/31/33/34/31/29,,,,"7,6/10,1/5,2/7,2/3,2/3,6/11,2/13","17,8/23,2/21,9/31,4/26,8/40,1/15/20,7","T:300K/4,2K(4Κ)"
IMS,2024,6,Hassan,"A Power-Efficient, F-Band, 6.5-dB NF, Staggered-Tuned, Inverter-Based CMOS LNA for 6G Receivers",CMOS SOI,22,100,6.5,110,7.2,14.2,1,I,,,7.5,IP1dB simulated
IMS,2024,6,Lepkowski,"A 6.8 - 9.4 GHz LNA Achieving 36.5 dB Peak Gain, Consuming 4.28 mW with an Adjustable Threshold Limiter for IR-UWB Applications",CMOS SOI,45,9,4.85,9,4.85,36.5,-5.5,O,,2.6,4.28,
IMS,2024,6,Mayeda,A K/Ka-Band Satellite Terminal Beamforming Front-End-Module Utilizing Dual-Band Self-Diplexing Antennas,CMOS,65,29,4.5,29,4.5,6.3,-14.1,I,,5.6,17,Receiver Frontend
IMS,2024,6,Liu,Compact KiKa-Band Frontend PA and LNA in 16nm FinFET for Next Generation Digitally Intensive Arrays,CMOS FinFet,16,27,2.2,27,2.2,8,,,0.87,7.5,10.4,
IMS,2024,6,Elazar,A 5.6 dB Noise-Figure X-Band to W-Band CMOS Frequency-Extender Receiver Frontend,CMOS,65,95,5.6,91,6.5,16,-15,I,,8.5,180,Receiver Frontend
IMS,2024,6,Chen,A 240-GHz Wideband LNA with Dual −Peak−Gmax Cores and Customized High-Speed Transistors in 40-nm CMOS,CMOS,40,240,11.5,220,12.5,16.2,-5.3,O,,15,34.7,NF Simulation
IMS,2024,6,Chaubey,A Gm-Boosting Inductorless Noise-Canceling Low Noise Amplifier in 40-nm CMOS for Quantum Applications,CMOS,40,"0,51/0,64","2,36/0,41","0,51/0,64","2,36/0,41","40,8/42,7",-31/-,I,-20/-,"1,51/2,09","10,7/5,3",T:300K/4K
IMS,2024,6,Yang,A 5.2-GHz Area-Efficient RF Front-End with 2.79x PAE Enhancement at 7.7-dB Power Back-Off,CMOS,90,5.2,3.8,5.2,3.8,15.9,,,,,20.5,
IMS,2024,6,Yang,A Ku-Band +2 dBm IIP3 Transformer-Based LNA with Loop-Gain-Enhanced Capacitive Negative Feedback,CMOS,180,10.2,4.4,12,5,17.1,-8.5,I,2,3.6,28.8,Linearity @ 10.7GHz
IMS,2024,6,Tsai,High Isolation CMOS TDD RF Front-End using Sandwich-Type Concentric Vortical Transformer and Leakage Elimination Technique,CMOS,90,2.6,3.46,2.6,3.46,12.4,,,,,8.2,Receiver Frontend
IMS,2024,6,Chien,Design of a W-Band Transformer-Based Switchless Bidirectional PALNA in 65-nm CMOS Process,CMOS,65,81,7,80,7.8,18,-14,I,,21,53,
RFIC,2024,6,Qian,A High-Gain D-Band LNA with Compact Gm-Boosting Core Based on Slow-Wave Feedback Achieving 6.1 dB NF in 40 nm CMOS,CMOS,40,146,6.1,140,6.62,18.4,-16.7,I,,16.5,17.1,
RFIC,2024,6,Cheng,A Compact 28/39 GHz Dual-Band Concurrent/Band-Switching LNA for 5G Multi-Band Multi-Stream Applications,CMOS,65,30/37/26/37,"4,97/4,9/3,6/3,8","28,2/37/28/39","5/5/3,7/4","21/21/26,3/25",,,"-14,7/-12,4/-18,5/-16,4","8/10,9/8,5/12,5","38,4/38,4/19,2/19,2",
RFIC,2024,6,Mohin,A Blocker-Tolerant mm-Wave MIMO Receiver with Spatial Notch Filtering Using Non-Reciprocal Phase-Shifters for 5G Applications,CMOS SOI,45,29,5.4,29,5.4,30,-7.8,I,,,62.8,Receiver Frontend
RFIC,2024,6,Chaubey,A 46.7-dB Gain 9.3-K Noise Temperature 5.8-mW Two-Fold Current Reuse Dual Noise-Canceling LNA in 28-nm CMOS for Qubit Readout,CMOS,28,"0,5/0,6","1,37/0,136","0,7/1,1","1,4/0,15",44/46,-39/-,I,-23/-,"1,38/2,19","9,7/5,8",
RFIC,2024,6,Chou,A 200 GHz Wideband and Compact Differential LNA Leveraging an Active Balun Input Stage in 16nm FinFET Technology,CMOS FinFet,16,190,8.3,200,9,12,-1.6,O ,,48,28,
RFIC,2024,6,Fu,A 4.4-mW 19–46-GHz Low-Noise Amplifier with Pole-Converging Gain Flattening and Triple-Resonance Input Matching,CMOS,40,24,3.39,32,3.8,11,-15.5,I,,27,4.4,
RFIC,2024,6,Zhang,A Reconfigurable Ultra Compact Bi-directional Amplifier with a Build-in-Self Notch Filter for K/Ka-band Satellite Communication,CMOS SOI,45,20,2.46,19,2.5,16.2,,,,,,"Receiver Frontend, Gain noted @ fc=20GHz"
RFIC,2024,6,Hwang,A Compact Ka-Band Bi-Directional PA-LNA with 17.4-dBm Psat Using Three-Stack Power Amplifier in 28-nm CMOS,CMOS,28,31,5.3,31,5.3,17.3,-10.3,I,0,8,63,
RFIC,2024,6,Chen,A Frequency Reconfigurable Phased-Array Front-End with Enhanced Image-Rejection and High-Resolution LO Phase Shifter for 5G FR2 n258/n260/n261 Bands,CMOS,65,27/37,"6,5/8,1",26/38,"6,8/8,8",16/15,-20/-22,I,,"3,5/4,5",58.8,Receiver Frontend
TCAS II,2024,7,Zhang,"0.78–1.22° RMS Phase Error, 0.14–0.32 dB RMS Gain Error, K-Band 4-Channel Phased Array Receiver IC for Satcom on the Move (SOTM)",CMOS,40,20,3.4,20,3.4,22,-28,I,,6.7,62,"Receiver Frontend, Power consumption per channel"
TCAS II,2024,7,Han,A 60-GHz Current-Reused Cascode Noise-Canceling Low Noise Amplifier,CMOS,40,52.5,4.4,60,4.6,16.5,-13,I,,16.4,33,
IEEE ACCESS,2024,7,Lee,A 131.5–137.5 GHz Low-Power Sub-Harmonic Receiver Using a 65-nm CMOS Technology,CMOS,65,133.5,12,133.5,12,40.4,-1.8,O ,,6,77.4,"Receiver Frontend, OP1dB @ 135GHz"
TMTT,2024,6,Chang,Design and Analysis of 28 GHz CMOS LNA and VGA Using Gain-Linearity-Boosting and Body Floating Techniques,CMOS,90,26.5,1.98,28,2.5,21.8,-19.6,I,-10,7.2,9.5,
TCAS,2024,6,Liu,"A 0.6 V, 1.74 mW, 2.9 dB NF Inductorless Wideband LNA in 28-nm CMOS Exploiting Noise Cancellation and Current Reuse",CMOS,28,1.7,2.9,1.7,2.9,18.5,-21,I ,-12.3,2.65,1.74,IIP3 @ 1GHz
TMTT,2024,6,Kim,Channel-Selection LNA Using High-Order N-Path Feedforward Blocker Cancellation Path With Complex Poles for Advanced 5G NR FDD RX,CMOS,65,"1,48/1,805/1,93/2,35/2,62","4,48/4,44/4,4/4,6/4,4","1,48/1,805/1,93/2,35/2,62","4,48/4,44/4,4/4,6/4,4","16,2/18,5/19,5/21,1/22,6",,,"4,8/4,95/5,2/5,4/5,8",54/55/50/48/56,21.2,
TCAS II,2024,5,Huang,A 3.3-V Ku-Band Front-End Module With 2.6-dB NF and 18.9-dBm OP1dB in 65-nm CMOS,CMOS,65,11.5,2.6,11.5,2.6,25,,,,3.7,,Receiver Frontend
MWTL,2024,5,Cheng,A Reconfigurable LNA With Compact Magnetic-Capacitive Coupling Transformer Networks for 5G 28-/39-GHz Applications,CMOS,65,28/39,"4,06/4,46",28/39,"4,06/4,46","16,6/15","-12,1/-16,5",I,-1/-6,"7,5/7,5",26.4,
TMTT,2024,5,Filippi,D-Band RX Front-End With a 0°–360° Phase Shifter Based on Programmable Passive Networks in SiGe-BiCMOS,SiGe BiCMOS,55,150,6.8,150,6.8,20,-22.5,I,,40,80,
JSSC,2024,5,Ding,A 23-GHz TX/LNA Front-End Module for Inter-Satellite Links With 27.8% Peak Efficiency in the TX Path and 3.1-dB NF in the RX Path,SiGe BiCMOS,130,23,3.1,23,3.1,19.3,-19.4,I,,4.9,10,Receiver Frontend
TCAS,2024,5,Huang,28 GHz Compact LNAs With 1.9 dB Minimum NF Using Folded Three-Coil Transformer and Dual-Feedforward Techniques for Phased Array Systems,CMOS,65,"29,1/26,8","1,9/2,51","27,8/27,4","2,2/2,8","16,7/11,7","-12/-11,2",I,"-3,9/-3,5","4,3/4,9","13,2/3,6",IIP3 @28GHz
IEEE ACCESS,2024,5,Song,A Single-Ended-to-Differential Low-Noise Amplifier With Transformer-Based Feedback Network for 3–5 GHz UWB Applications,CMOS,180,3.5,3.3,4,3.4,12.6,-15,I,-5,4,9.9,
JSSC,2024,5,Sun,A Compact Millimeter-Wave Reconfigurable Dual-Band LNA With Image-Rejection in 28-nm Bulk CMOS for 5G Applications,CMOS,28,32/36,"2,5/2,8",28/38,"3,1/3,5","18,1/18,9","-17/-18,5",I,"-8,5/-11","9,7/7",14,
IEEE ACCESS,2024,4,Jeong,Blocker-Tolerant Broadband CMOS Low-Noise Amplifier Employing N-Path Filter-Based Load,CMOS,65,"1,84/1,96/2,14/2,66","1,93/1,92/1,78/1,5","1,84/1,96/2,14/2,66","1,93/1,92/1,78/1,5","36,4/37,8/39,2/40,4","-35,6/-35,3/-38,3/-40,6",I,"-28,8/-27,1/-29,6/-27,5","0,03/0,02",37.7,"System, MB=[1.7-2.2GHz] (Bands 1/n1, 2/n2, 3/n3), HB=[2,6-2,7GHz]"
TCAS II,2024,4,Cheng,A Ku-Band Broadband High-IF Receiver With Wide Input Dynamic Range in 65-nm CMOS,CMOS,65,14.5,5.7,14.5,5.7,24,-21.7,I,-16.1,,355.5,Receiver Frontend
TCAS,2024,4,Mahmood,"A 0.1–4.2 GHz, 960-μW Inductor-Less and Negative Shunt Feedback LNA With Simultaneous Noise and Distortion Cancellation and Bandwidth Extension",CMOS,65,2,4.45,2,4.45,15.6,,,-16,4.2,0.96,
JSSC,2024,4,Lee,A 24 to 30-GHz Phased Array Transceiver Front End With 2.8 to 3.1-dB RX NF and 22 to 24% TX Peak Efficiency,SiGe BiCMOS,130,28,2.8,28,2.8,19.5,-31.2,I,,14,48,Receiver Frontend
TMTT,2024,3,Choi,A D-Band Low-Noise and High-Gain Receiver Front-End Adopting Gmax-Driven Active Mixer,CMOS,65,153,7.5,153,7.5,28,-32,I,,4.5,21.8,Receiver Frontend
TMTT,2024,3,Bardeh,A mm-Wave Concurrent Dual-Band Dual-Beam Phased Array Receiver Front-End in 22-nm CMOS SOI,CMOS SOI,22,28/37,6/7,28/39,"6/8,5","20,5/18","-18,5/-21",I,,7,54.8,Receiver Frontend
TCAS II,2024,3,Wang,A Broadband Variable-Gain Low-Noise Amplifier With Low NF and Dual Phase Compensation,CMOS,65,24,3,32,3.5,15,-18,I,,26,17,
TCAS II,2024,3,Liu,A 28/39 GHz Tri-Mode Frequency-Reconfigurable LNA for Multiband 5G Communications,CMOS,55,31/38/34,"3/4/3,7",28/39/34,"3,25/4,1/3,7","23,5/22,9/20","-23,5/-24,2/-17,7",I,"-14,8/-15/-9,1","7,4/8,3/20,2","19,8/23,6/43,4",
TMTT,2024,3,Wang,A Low-Power 23–25.5-GHz FMCW Radar Transceiver in 65-nm CMOS for AIOT Applications,CMOS,65,24,5.7,24,24,54.2,-37,I,-27,,113,"Receiver Frontend, Linearity @ 42 dB gain, Consumption for TRX"
TCAS II,2024,3,Chaubey,A 0.01-to-2.6-GHz Two-Fold Current Reuse Dual Noise-Canceling LNA Achieving 6.8-K Noise Temperature for Quantum Applications,CMOS,40,"0,4/0,6","1,16/0,1","1/1,3","1,3/0,2",28/29,-30/-,I,-18/-,"1,89/2,59","17,6/8,6",
JSSC,2024,3,Lee,A 300-μW 2.4-GHz PVT-Insensitive Subthreshold Reference-Based LNA,CMOS,130,2.35,4.51,2.4,5,13.96,-23,I,-16.6,,0.276,
MWTL,2024,3,Chen,A 60-GHz Phase-Invariant Variable Gain LNA With T/R Switch and Gain Interpolation Techniques in 65-nm CMOS,CMOS,65,53,6.3,60,7.5,20,-15.6,I,,13.5,38.4,
MWTL,2024,3,Zhang,A 58–110 GHz 4.2 dB Minimum NF CMOS LNA With Broadband Simultaneous Noise and Impedance Matching,CMOS,40,63,4.2,80.5,5.9,15,,,,21,20.7,
MWTL,2024,2,Thangarasu,A Ku-Band Fully Differential Current-Reuse Stacked Low-Noise Amplifier in 0.18-μm SiGe BiCMOS Technology,SiGe BiCMOS,180,13,3,13,3,18,-14,I,,5.9,11.5,
